OEIS %N name templates (>= 25 sequences sharing one abstracted name pattern)
===============================================================================

Method:
  All %N (name) fields of the 398,534 .seq files were extracted and
  normalized: lowercased; integer literals and spelled-out number words
  replaced by {pK} slots; references to other sequences (Annnnnn)
  replaced by {AK} slots.
  Names that then coincide belong to one template: its members differ only
  by the constant parameters (or small arithmetic expressions built on
  them) in those slots.

Stats:
  sequences total ............ 398,534
  distinct raw templates ..... 245,149
  templates with >= 25 ....... 704
  sequences covered by them .. 66,238 (16.6%)

Placeholders: {pK} = K-th integer constant, {AK} = K-th sequence reference.
Templates longer than 160 chars are truncated with '...'.

|  # | count | template | example members |
| 390 |    41 | number of {p1} x {p2} matrices with elements in {p3}..n with each row and each column in nondecreasing order. {p4},{p5},n can be permuted, see formula | A140901, A140909, A140917, A140926, A140934 |
| 391 |    41 | numbers n such that {p1}*{p2}^n + {p3}*r_n + {p4} is prime, where r_n = {p5}...{p6} is the repunit ({A1}) of length n | A102954, A102980, A102996, A103036, A103077 |
| 392 |    41 | principal diagonal of the convolution array {A1} | A213436, A213562, A213583, A213766, A213826 |
| 393 |    41 | triangle read by rows, {A1} * {A2} | A127108, A140582, A152194, A156665, A158951 |
| 394 |    40 | a(n) = n - {A1}(n) | A101788, A262906, A292601, A336647, A364253 |
| 395 |    40 | aliquot sequence starting at {p1} | A008885, A014360, A143090, A143754, A143847 |
| 396 |    40 | inverse permutation of {A1}; every positive integer occurs exactly {p1} | A194012, A194843, A194901, A194967, A195078 |
| 397 |    40 | nearest integer to gamma(n + {p1}/{p2})/gamma({p3}/{p4}) | A020001, A020009, A020017, A020025, A020033 |
| 398 |    40 | number of nx{p1} {p2}..{p3} arrays with every {p4} horizontally, diagonally or antidiagonally adjacent to {p5}, {p6} or {p7} neighboring {p8}s | A297602, A297635, A297679, A297716, A297757 |
| 399 |    40 | numbers n such that {p1}*n + {p2} is prime | A037030, A105775, A108762, A111224, A158648 |
| 400 |    40 | sequence {A1} in binary | A063672, A114397, A115798, A115814, A115830 |
| 401 |    40 | total number of on (black) cells after n iterations of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A262867, A265429, A266594, A267047, A267452 |
| 402 |    39 | ceiling of gamma(n+{p1}/{p2})/gamma({p3}/{p4}) | A020092, A020101, A020108, A020117, A020124 |
| 403 |    39 | convolution of {A1} and {A2} | A023556, A023604, A101555, A274355, A360489 |
| 404 |    39 | diagonal sums of number triangle {A1} | A104882, A108361, A110182, A122920, A176287 |
| 405 |    39 | indices of primes in {A1} | A066269, A232543, A244930, A285217, A285224 |
| 406 |    39 | n times n+{p1} gives the concatenation of {p2} numbers m and m-{p3} | A116225, A116234, A116245, A116252, A116263 |
| 407 |    39 | number of (n+{p1})x{p2} binary arrays avoiding patterns {p3} and {p4} in rows and columns | A202095, A202371, A202399, A202599, A203085 |
| 408 |    39 | number of n x n arrays of squares of integers, symmetric about main diagonal, with all rows summing to {p1} | A156434, A156453, A156470, A156486, A156505 |
| 409 |    39 | numbers k such that {p1}*r_k + {p2} is prime, where r_k = {p3}...{p4} is the repunit ({A1}) of length k | A055520, A056662, A056682, A056693, A099411 |
| 410 |    39 | numbers n such that {p1}*{p2}^n + {p3}*r_n - {p4} is prime, where r_n = {p5}...{p6} is the repunit ({A1}) of length n | A102958, A102994, A103020, A103038, A103079 |
| 411 |    39 | period {p1}: repeat ({p2},{p3}) | A010674, A010688, A010699, A010707, A010720 |
| 412 |    39 | primes for which -{p1} is a primitive root | A007348, A105880, A105889, A105896, A105904 |
| 413 |    39 | t(n,k)=number of nxk {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6}, {p7} or {p8} king-move adjacent elements, with upper left element zer... | A298154, A299097, A299249, A299366, A299521 |
| 414 |    39 | trajectory of {p1} under map n->{p2}n+{p3} if n odd, n->n/{p4} if n even | A033962, A033969, A033976, A037103, A037111 |
| 415 |    38 | a(n) = gcd({A1}(n), {A2}(n)) | A074641, A280702, A325975, A331290, A345061 |
| 416 |    38 | a(n) = {A1}(n+{p1})/{p2} | A024728, A157524, A160419, A162775, A173459 |
| 417 |    38 | binomial coefficient c({p1},n) | A010927, A010934, A010941, A010948, A010955 |
| 418 |    38 | coordination sequence for b_{p1} lattice | A107546, A107553, A107560, A107567, A108002 |
| 419 |    38 | difference sequence of {A1} | A022156, A284881, A325496, A325521, A325528 |
| 420 |    38 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with each row and column divisible by {p6}, read as a base-{p7} number with top and left being the most signifi... | A263218, A263335, A263372, A263435, A263463 |
| 421 |    38 | number of on (black) cells in the n-th iteration of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A265205, A266249, A266614, A266981, A267445 |
| 422 |    38 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149900, A150064, A150417, A150512, A150745 |
| 423 |    38 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148109, A148203, A148459, A148960, A148992 |
| 424 |    38 | permanent of the n-th principal submatrix of {A1} | A204233, A204249, A204264, A204430, A204444 |
| 425 |    38 | total number of off (white) cells after n iterations of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A265220, A266074, A266440, A266795, A267262 |
| 426 |    38 | {A1}(n)/{p1} | A007823, A129028, A192375, A226478, A261909 |
| 427 |    37 | a(n) = {A1}(n) - n | A033550, A158511, A286548, A337341, A351646 |
| 428 |    37 | a(n) = {p1}*n^{p2} + {p3}*n | A067705, A105374, A158056, A158309, A158396 |
| 429 |    37 | base-{p1} palindromes that start with {p2} | A043001, A043008, A043015, A043022, A043030 |
| 430 |    37 | expansion of {p1}/(({p2}-x^{p3})({p4}-x^{p5})({p6}-x^{p7})({p8}-x^{p9})) | A029138, A029416, A029423, A029430, A029438 |
| 431 |    37 | hankel transform of {A1} | A121835, A138176, A166445, A168504, A186002 |
| 432 |    37 | number of (n+{p1})x{p2} {p3}..{p4} arrays containing all values {p5}..{p6} with every {p7}x{p8} subblock having {p9} or {p10} distinct values, and new values {p... | A209963, A210009, A210169, A210179, A210306 |
| 433 |    37 | number of (n+{p1})x{p2} {p3}..{p4} arrays with the permanents of all {p5}x{p6} subblocks equal and nonzero | A204711, A204756, A204785, A204835, A204873 |
| 434 |    37 | number of n x n arrays of squares of integers summing to {p1} | A159355, A159383, A159401, A159415, A159429 |
| 435 |    37 | number of n x n arrays of squares of integers summing to {p1} with every element equal to at least {p2} neighbor | A146089, A146347, A146506, A146519, A146547 |
| 436 |    37 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7}, {p8}, {p9}, {p10} or {p11} king-move adjacent elements, with upper left... | A317512, A317522, A317567, A317601, A317693 |
| 437 |    37 | numbers k such that k concatenated with k+{p1} gives the product of {p2} numbers which differ by {p3} | A116163, A116173, A116182, A116195, A116207 |
| 438 |    37 | numbers that are the sum of {p1} nonzero squares in exactly {p2} ways | A025285, A025292, A025327, A025361, A294736 |
| 439 |    37 | primes congruent to {{p1}, {p2}, {p3}, {p4}, {p5}} mod {p6} | A042989, A045396, A215162, A215320, A215355 |
| 440 |    36 | base-{p1} digits are, in order, the first n terms of the periodic sequence with initial period {p2},{p3},{p4} | A033121, A033132, A037496, A037525, A037545 |
| 441 |    36 | decimal expansion of ratio-sum for {A1}; see comments | A296425, A296432, A296477, A296491, A296565 |
| 442 |    36 | möbius transform of {A1} | A003966, A254520, A305806, A347115, A354185 |
| 443 |    36 | n written in fractional base {p1}/{p2} | A024629, A024636, A024643, A024650, A024657 |
| 444 |    36 | number of length n+{p1} {p2}..{p3} arrays with no {p4} consecutive terms having the maximum of any {p5} terms equal to the minimum of the remaining {p6} terms | A249838, A249878, A249956, A250011, A250057 |
| 445 |    36 | number of nx{p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5} or {p6} horizontally, vertically or antidiagonally adjacent elements, with upper lef... | A317759, A317770, A317817, A317859, A317890 |
| 446 |    36 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149828, A150016, A150141, A150241, A150477 |
| 447 |    36 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), (-{p9}, {p10}... | A148304, A148362, A148484, A148497, A149066 |
| 448 |    36 | partial products of {A1} | A060193, A140701, A181335, A265125, A282165 |
| 449 |    36 | positive numbers having the same set of digits in base {p1} and base {p2} | A033170, A037414, A037421, A037428, A037436 |
| 450 |    36 | primes of the form {p1}n^{p2} + {p3} | A168487, A201480, A201600, A201607, A201706 |
| 451 |    36 | weight distribution of [{p1},{p2},{p3}] primitive binary bch code | A083488, A151722, A151810, A151839, A151933 |
| 452 |    35 | a(n) = {A1}(n) - {p1} | A026243, A099953, A136000, A166260, A295571 |
| 453 |    35 | a(n) = {p1}*a(n-{p2}) - {p3}*a(n-{p4}), with a({p5})={p6}, a({p7})={p8} | A020698, A190962, A190969, A190977, A190984 |
| 454 |    35 | column {p1} of triangle {A1}, also equals column {p2} of {A2}^{p3} | A113341, A113351, A113362, A113373, A113388 |
| 455 |    35 | decimal expansion of gamma({p1}/{p2}) | A068465, A203138, A203145, A220609, A340721 |
| 456 |    35 | fixed point of the morphism {p1}->{p2}, {p3}->{p4} | A096270, A189628, A189706, A284386, A285661 |
| 457 |    35 | multiples of {p1} | A008586, A008597, A008604, A086746, A169825 |
| 458 |    35 | number of (n+{p1})x{p2} {p3}..{p4} arrays with column and row pair sums b(i,j)=a(i,j)+a(i,j-{p5}) and c(i,j)=a(i,j)+a(i-{p6},j) nondecreasing in column and row... | A203665, A203724, A203737, A203868, A203943 |
| 459 |    35 | number of (n+{p1})x{p2} {p3}..{p4} arrays with column and row pair sums b(i,j)=a(i,j)+a(i,j-{p5}) and c(i,j)=a(i,j)+a(i-{p6},j) such that rows of b(i,j) and col... | A203447, A203659, A203782, A203891, A203912 |
| 460 |    35 | number of nx{p1} {p2}..{p3} arrays avoiding {p4} {p5} {p6} horizontally and {p7} {p8} {p9} vertically | A206780, A206870, A206887, A206991, A207085 |
| 461 |    35 | number of permutations of floor(i*{p1}/{p2}), i={p3}..n-{p4}, with all sums of {p5} through {p6} adjacent terms respectively unique | A147900, A147907, A147914, A147938, A147945 |
| 462 |    35 | number of permutations of {p1} indistinguishable copies of {p2}..n with exactly {p3} adjacent element pairs in decreasing order | A151624, A151631, A151638, A151645, A151652 |
| 463 |    35 | number of ways to place zero or more nonadjacent {p1},{p2} {p3},{p4} {p5},{p6} {p7},{p8} {p9},{p10} {p11},{p12} {p13},{p14} polyhexes in any orientation on a pl... | A155315, A155322, A155331, A155341, A155348 |
| 464 |    35 | numbers k such that k^{p1} + {p2} is prime | A000068, A049441, A113536, A114275, A125263 |
| 465 |    35 | numbers k such that number of runs in the base {p1} representation of k is congruent to {p2} mod {p3} | A043768, A043822, A043830, A043838, A043855 |
| 466 |    35 | primes that are the sum of {p1} consecutive primes | A034962, A215993, A216000, A216007, A216014 |
| 467 |    34 | a(n) = n-{p1} | A023444, A023450, A023459, A023465, A023473 |
| 468 |    34 | a(n) = {p1}*binomial({p2}*n+{p3},n)/({p4}*n+{p5}) | A118969, A233830, A234466, A234513, A234573 |
| 469 |    34 | coefficients in expansion of (e_{p1}^{p2}/e_{p3}^{p4})^({p5}/{p6}) | A289365, A296652, A299696, A299859, A299949 |
| 470 |    34 | decimal expansion of limiting power-ratio for {A1}; see comments | A296452, A296458, A296474, A296488, A296500 |
| 471 |    34 | length of cycle mentioned in {A1} | A151958, A164999, A165022, A165057, A165081 |
| 472 |    34 | n^{p1} mod {p2} | A070441, A070605, A070685, A070710, A070723 |
| 473 |    34 | number of (n+{p1})x{p2} {p3}..{p4} matrices with each {p5}x{p6} subblock idempotent | A224570, A224583, A224591, A224601, A224631 |
| 474 |    34 | number of n x {p1} {p2}..{p3} arrays with every element unequal to {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left element zer... | A305590, A305952, A306163, A316238, A316422 |
| 475 |    34 | number of nx{p1} {p2}..{p3} arrays with every nonzero element less than or equal to at least {p4} horizontal and vertical neighbors | A202975, A203335, A203343, A203388, A203455 |
| 476 |    34 | number of permutations of {p1} copies of {p2}..n with all adjacent differences <= {p3} in absolute value | A177282, A177288, A177294, A177300, A177306 |
| 477 |    34 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, -{p8}), (-{p9}, -{p... | A149855, A149931, A150032, A150308, A150376 |
| 478 |    34 | numbers whose base-{p1} and base-{p2} expansions have no digits in common | A037337, A037344, A037350, A037356, A037362 |
| 479 |    34 | numbers whose base-{p1} and base-{p2} expansions have the same digit sum | A037301, A037309, A037315, A037321, A037327 |
| 480 |    34 | polylogarithm li(-n,-{p1}/{p2}) multiplied by ({p3}^(n+{p4}))/{p5} | A210246, A213130, A213136, A213142, A213148 |
| 481 |    34 | powers of {p1} | A009964, A009971, A009978, A009984, A009990 |
| 482 |    34 | primes of the form {p1}n^{p2} - {p3} | A090686, A201782, A201789, A201850, A201856 |
| 483 |    34 | primes with digit sum = {p1} | A106756, A106762, A106769, A106775, A106781 |
| 484 |    34 | v(n+{p1})/v(n), where v={A1} | A202945, A203590, A203684, A203698, A203743 |
| 485 |    33 | a(n) = ({A1}(n)-{p1})/{p2} | A088350, A095273, A151549, A166048, A251550 |
| 486 |    33 | a(n) = {p1}*{p2}^n | A002023, A005010, A005052, A110288, A176413 |
| 487 |    33 | expansion of product_{d \| {p1}} theta_{p2}(q^d) | A033722, A033734, A033740, A033746, A033752 |
| 488 |    33 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays x(i,j) with row sums sum{j^{p6}*x(i,j), j={p7}..{p8}+{p9}} nondecreasing, and column sums sum{i^{p10}*x(i,j), i... | A232706, A232762, A232786, A232849, A232857 |
| 489 |    33 | number of n x n {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left element ze... | A299648, A299715, A299808, A299880, A300031 |
| 490 |    33 | number of nx{p1} {p2}..{p3} arrays with each {p4} adjacent to {p5} or {p6} king-move neighboring {p7}s | A295777, A295846, A295981, A296035, A296125 |
| 491 |    33 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A148229, A148276, A149119, A149172, A149222 |
| 492 |    33 | numbers k such that string {p1},{p2} occurs in the base {p3} representation of k but not of k+{p4} | A044450, A044560, A044641, A044647, A044796 |
| 493 |    33 | numbers k such that the string {p1},{p2} occurs in the base {p3} representation of k but not of k-{p4} | A044098, A044286, A044299, A044313, A044328 |
| 494 |    33 | numbers k such that {p1}*k^{p2} + {p3} is prime | A001912, A097697, A110967, A111149, A128829 |
| 495 |    33 | numbers k that divide {p1}^k + {p2}^k | A045576, A045583, A045589, A045595, A045601 |
| 496 |    33 | numbers whose base-{p1} representation has the same number of {p2}'s, {p3}'s and {p4}'s | A039559, A039566, A039572, A039578, A039584 |
| 497 |    33 | triangle read by rows: {A1} * {A2} as infinite lower triangular matrices | A103994, A128306, A128623, A129501, A131035 |
| 498 |    32 | a(n) = ({p1}/{p2})*{A1}(n) | A206802, A290907, A291039, A291390, A293726 |
| 499 |    32 | a(n) = t({p1},n), array t given by {A1} | A036543, A047860, A048476, A048490, A048510 |
| 500 |    32 | a(n) = {A1}(n) / {A2}(n) | A078205, A092505, A203510, A319993, A336848 |
| 501 |    32 | a(n) = {p1}*n^{p2} - {p3}*n | A154376, A158058, A158224, A158329, A158398 |
| 502 |    32 | a(n) = {p1}^n + {p2}^n | A007689, A074604, A074610, A074616, A074622 |
| 503 |    32 | a(n)=(s(n)+{p1})/{p2}, where s(n)=n-th base {p3} palindrome that starts with {p4} | A043045, A043054, A043060, A043069, A043076 |
| 504 |    32 | coefficients in expansion of dirichlet series product_p ({p1}-(kronecker(m,p)+{p2})*p^(-s)+kronecker(m,p)*p^(-{p3}s))^(-{p4}) for m = {p5} | A035186, A035194, A035201, A035210, A035217 |
| 505 |    32 | first column of {A1} | A027507, A027546, A082819, A167199, A262042 |
| 506 |    32 | monotonic ordering of nonnegative differences {p1}^i-{p2}^j, for {p3}>= i>={p4}, j>={p5} | A192123, A192152, A192159, A192167, A192195 |
| 507 |    32 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with nondecreasing sum of every {p6} consecutive values in every row and column | A250426, A250437, A250594, A250862, A251187 |
| 508 |    32 | number of (n+{p1})x{p2} {p3}..{p4} arrays with every {p5}x{p6} subblock having {p7} or {p8} distinct values, and new values {p9}..{p10} introduced in row major... | A209824, A209845, A210120, A210160, A210400 |
| 509 |    32 | number of distinct solutions of sum{i={p1}..{p2}}(x({p3}i-{p4})*x({p5}i)) = {p6} (mod n), with x() only in {p7}..n-{p8} | A180774, A180780, A180789, A180817, A180826 |
| 510 |    32 | number of n x n binary arrays symmetric under {p1} degree rotation with all ones connected only in a {p2}-{p3} pattern in any orientation | A146230, A146475, A146743, A147065, A147366 |
| 511 |    32 | number of nonempty subsets of {{p1},{p2},...,n} in which exactly {p3}/{p4} of the elements are <= (n+{p5})/{p6} | A048038, A048045, A048073, A048079, A048085 |
| 512 |    32 | number of nx{p1} {p2}..{p3} arrays with every nonzero element less than or equal to some horizontal or vertical neighbor | A202884, A202910, A203051, A203060, A203094 |
| 513 |    32 | number of nx{p1} {p2}..{p3} arrays with every nonzero element less than or equal to some nw, e or s neighbor | A202983, A203257, A203273, A203394, A203503 |
| 514 |    32 | number of nx{p1} {p2}..{p3} arrays with no element equal to {p4} plus the sum of elements to its left or {p5} plus the sum of elements above it or {p6} plus the... | A239360, A239997, A240337, A240361, A240423 |
| 515 |    32 | number of nx{p1} {p2}..{p3} arrays with rows in nondecreasing lexicographic order and columns in nonincreasing lexicographic order, but with exactly {p4} mistak... | A278628, A278650, A278773, A278794, A278852 |
| 516 |    32 | number of off (white) cells in the n-th iteration of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A265219, A266222, A266595, A266900, A267354 |
| 517 |    32 | number of strings of length n over z_{p1} with trace {p2} and subtrace {p3} | A073963, A073969, A073975, A073981, A073987 |
| 518 |    32 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, {p7}, {p8}), ({p9}, {p10},... | A150549, A150653, A150842, A150891, A150899 |
| 519 |    32 | numbers having {p1} {p2} in base {p3} | A043321, A043381, A043433, A043461, A043489 |
| 520 |    32 | numbers k such that {A1}(k) = {A2}(k) | A026222, A078327, A335878, A356081, A370493 |
| 521 |    32 | numbers x such that {p1} < \|x^{p2} - y^{p3}\| < x^({p4}/{p5}) for some number y | A173348, A173354, A173360, A173366, A173372 |
| 522 |    32 | period {p1}: repeat [{p2}, {p3}, {p4}, {p5}] | A011765, A131712, A133872, A147818, A167873 |
| 523 |    32 | primes of the form {p1}n^{p2}+{p3} | A201108, A201114, A201172, A201179, A201264 |
| 524 |    32 | t(n,k) is the number of (n+{p1}) x (k+{p2}) {p3}..{p4} arrays with every {p5} x {p6} subblock having its diagonal sum differing from its antidiagonal sum by {p7... | A234169, A234266, A234490, A234665, A234728 |
| 525 |    32 | t(n,k)=number of nxk {p1}..{p2} arrays with every element equal to {p3}, {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left eleme... | A299654, A299721, A299814, A299893, A300040 |
| 526 |    32 | the arithmetic function uhat(n,{p1},{p2}) | A291041, A291502, A291515, A291567, A291574 |
| 527 |    31 | a(n) = (({p1}+sqrt({p2}))*({p3}+sqrt({p4}))^n + ({p5}-sqrt({p6}))*({p7}-sqrt({p8}))^n)/{p9} | A111566, A161947, A162273, A162769, A163064 |
| 528 |    31 | a(n) = ({p1}*n+{p2})*({p3}*n+{p4}) | A001504, A001538, A033573, A085001, A146301 |
| 529 |    31 | a(n) = ({p1}*{p2}^n - {p3})/{p4} | A020989, A096053, A198766, A199023, A246057 |
| 530 |    31 | a(n) = {A1}(n) * {A2}(n) | A094070, A143231, A239226, A331291, A345048 |
| 531 |    31 | a(n) = {p1}*a(n-{p2}) for n > {p3}; a({p4}) = {p5}, a({p6}) = {p7} | A162255, A162962, A163888, A164640, A164737 |
| 532 |    31 | decimal expansion of ({p1}/{p2}) * exp({p3}*pi/{p4}) * pi^({p5}/{p6}) * {p7}^({p8}/{p9}) / gamma({p10}/{p11})^{p12} | A388090, A388213, A388219, A388226, A388588 |
| 533 |    31 | number of nx{p1} {p2}..{p3} arrays with every element equal to {p4}, {p5}, {p6}, {p7}, {p8}, {p9}, {p10} or {p11} king-move adjacent elements, with upper left e... | A300177, A300207, A300258, A300310, A300318 |
| 534 |    31 | number of nx{p1} {p2}..{p3} arrays with every row and column running average nondecreasing rightwards and downwards, and the number of instances of each value w... | A200770, A200776, A200900, A200934, A201103 |
| 535 |    31 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, -{p1... | A148056, A148279, A148922, A149105, A149585 |
| 536 |    31 | number of {p1}xn {p2}..{p3} arrays with every element equal to {p4}, {p5} or {p6} horizontally or antidiagonally adjacent elements, with upper left element zero | A301842, A301885, A301907, A301953, A301968 |
| 537 |    31 | number of {p1}xn {p2}..{p3} arrays with every {p4} horizontally, diagonally or antidiagonally adjacent to {p5} or {p6} neighboring {p7}s | A297460, A297511, A297525, A297585, A297599 |
| 538 |    31 | numbers m such that {A1}(m) = {p1} | A084116, A119025, A137674, A192489, A238247 |
| 539 |    31 | positions of {p1}'s in {{A1}(n) : n > {p2}} | A327175, A327184, A327209, A327254, A327301 |
| 540 |    31 | primes of the form x^{p1} + {p2}*y^{p3} | A033201, A139645, A139651, A139658, A139664 |
| 541 |    31 | primes p such that x^{p1} = -{p2} has a solution mod p | A051071, A051077, A051083, A051089, A051095 |
| 542 |    31 | primes p such that x^{p1} = -{p2} has no solution mod p | A216690, A216739, A216745, A216751, A216771 |
| 543 |    31 | primes whose base-{p1} representation also is the base-{p2} representation of a prime | A235265, A235467, A235475, A235616, A235622 |
| 544 |    31 | square array a(n,k), n >= {p1}, k >= {p2}, read by antidiagonals downwards, where column k is the expansion of e.g.f. b(x)^k, where b(x) is the e.g.f. of {A1} | A379168, A384722, A384761, A384811, A384985 |
| 545 |    31 | transpose of square array {A1} | A246273, A262899, A276619, A278493, A285731 |
| 546 |    31 | weight distribution of [{p1},{p2},{p3}] extended binary primitive bch (or xbch) code | A030639, A147635, A151559, A151618, A151660 |
| 547 |    31 | {p1}-limiting word of the mapping {p2}->{p3}, {p4}->{p5}, starting with {p6} | A287372, A288223, A288524, A288707, A288741 |
| 548 |    30 | bell numbers ({A1}) read mod {p1} | A146093, A146099, A146105, A146111, A146117 |
| 549 |    30 | decimal expansion of a constant related to the asymptotics of {A1} | A270047, A306398, A323720, A344388, A366072 |
| 550 |    30 | expansion of x/({p1} - {p2}*x - {p3}*x^{p4}) | A015529, A015545, A015559, A015570, A015580 |
| 551 |    30 | exponent of {p1} (value of i) in n-th number of form {p2}^i*{p3}^j | A022332, A025640, A025647, A025654, A025669 |
| 552 |    30 | exponent of {p1} (value of j) in n-th number of form {p2}^i*{p3}^j | A022333, A025658, A025668, A025679, A025686 |
| 553 |    30 | fixed point of the mapping {p1}->{p2}, {p3}->{p4}, starting with {p5} | A284932, A287125, A288203, A288377, A288596 |
| 554 |    30 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the sum of the absolute values of the edge differences equal to {p8} | A233629, A233750, A233945, A234340, A234404 |
| 555 |    30 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the sum of the squares of all {p8} edge and diagonal differences equal to... | A233786, A233815, A233856, A233881, A233902 |
| 556 |    30 | number of (n+{p1})x({p2}+{p3}) {p4}..{p5} arrays with every {p6}x{p7} subblock having the sum of the squares of the edge differences equal to {p8} | A233639, A233648, A233660, A233677, A233716 |
| 557 |    30 | number of (n+{p1})x{p2} binary arrays with no more than {p3} of any consecutive {p4} bits set in any row or column | A202415, A202465, A202568, A202719, A203042 |
| 558 |    30 | number of compositions of {p1}*n-{p2} into parts {p3} and {p4} | A369837, A369846, A373302, A373933, A373959 |
| 559 |    30 | number of nx{p1} {p2}..{p3} arrays with rows and columns in lexicographic nondecreasing order but with exactly {p4} mistakes | A278320, A278367, A278381, A278411, A278551 |
| 560 |    30 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, -{p8}), (-{p9}, {p1... | A151046, A151091, A151118, A151152, A151209 |
| 561 |    30 | number of walks within n^{p1} (the first octant of z^{p2}) starting at ({p3},{p4},{p5}) and consisting of n steps taken from {(-{p6}, -{p7}, {p8}), (-{p9}, {p10... | A149921, A149981, A150311, A150682, A150698 |
| 562 |    30 | numbers k such that ({p1}^k - {p2})/{p3} is prime | A004061, A006033, A127995, A128005, A293272 |
| 563 |    30 | numbers k such that {p1}*{p2}^k + {p3}*r_k - {p4} is prime, where r_k = {p5}...{p6} is the repunit ({A1}) of length k | A098930, A102961, A103013, A103060, A103083 |
| 564 |    30 | numbers missing from {A1} | A038162, A244018, A317107, A317468, A317917 |
| 565 |    30 | numbers n such that n divides the (right) concatenation of all numbers <= n written in base {p1} (most significant digit on right) | A029496, A029503, A029509, A029516, A061938 |
| 566 |    30 | numbers that are congruent to {{p1}, {p2}, {p3}, {p4}, {p5}, {p6}} mod {p7} | A032775, A047422, A047503, A047549, A047581 |
| 567 |    30 | primes of the form {p1}n^{p2}-{p3} | A155702, A200913, A200951, A200959, A201034 |
| 568 |    30 | sprague-grundy values for octal games .{p1} and .{p2} | A071432, A071469, A071475, A071481, A071503 |
| 569 |    30 | t(n,k)=number of nxk {p1}..{p2} arrays with every element unequal to {p3}, {p4}, {p5}, {p6}, {p7}, {p8} or {p9} king-move adjacent elements, with upper left ele... | A316808, A316953, A317065, A317215, A317376 |
| 570 |    30 | the arithmetic function v_{p1}(n,{p2}) | A289186, A289439, A290980, A291270, A291306 |
| 571 |    29 | a nonsense sequence | A088590, A089689, A105242, A122577, A139336 |
| 572 |    29 | a(n) = floor({p1}^n/{p2}^n) | A091946, A094974, A094980, A094985, A094990 |
| 573 |    29 | a(n) = {A1}(n+{p1}) - {A2}(n) | A073274, A085241, A112261, A140514, A186883 |
| 574 |    29 | a(n) = {A1}(n, {p1}n-{p2}) | A027056, A027063, A027089, A027094, A027120 |
| 575 |    29 | a(n) = {A1}({p1}^n) | A059360, A095900, A164364, A254120, A346996 |
| 576 |    29 | a(n) = {A1}({p1}n+{p2}) | A047755, A086362, A169739, A228692, A291089 |
| 577 |    29 | a(n) = {p1}-n | A022959, A022964, A022969, A022974, A022980 |
| 578 |    29 | a(n) = {p1}^n + {p2}^n - {p3} | A005056, A103456, A155602, A155617, A155636 |
| 579 |    29 | a(n) = {p1}^n - {p2} | A000918, A024062, A058481, A164785, A173833 |
| 580 |    29 | beatty sequence for ({p1}+sqrt({p2}))/{p3} | A080081, A329828, A329833, A329838, A329844 |
| 581 |    29 | binary representation of the middle column of the "rule {p1}" elementary cellular automaton starting with a single on (black) cell | A259661, A266071, A266612, A266896, A267366 |
